name,tweet
 As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,!!! RT @mayasolovely
 boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,!!!!! RT @mleew17
 You ever fuck a bitch and she start to cry? You be confused as shit,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life
 @viva_based she look like a tranny,!!!!!!!!! RT @C_G_Anderson
 The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,!!!!!!!!!!!!! RT @ShenikaRoberts
" The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""","!!!!!!!!!!!!!!!!!!""@T_Madison_x"
" I can not just sit up and HATE on another bitch .. I got too much shit going on!""","!!!!!!""@__BrighterDays"
 cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,!!!!&#8220;@selfiequeenbri
hobbies include,""" @rhythmixx_ "
//t.co/cOU2WQ5L4q,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http"
//t.co/BMdSVMc3rC,""" most hated but the hoes favorite "" #2MW #SevenOne # http"
//t.co/bzRDl3kF7U,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http"
//t.co/R8jsymiB5b,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http"
" ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",""" you dodge a bullet "" &#128517; &#8220;@DaRealKha"
" Teanna Trump probably cleaner than most of these twitter hoes but.........""","""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_"
" Gay niggas couldn't wait to act like bitches tonight""","""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz"
 And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life,"""&#128514;&#128514;&#128514;@The_Paradox"
" I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet","""@2015seniorprobs"
" I'm a fucking fag they said""","""@A7XDemery"
 Females think dating a pussy is cute now? http,"""@ARIZZLEINDACUT"
 -SimplyAddictedToGuys http,"""@Addicted2Guys"
" Have ya ever asked your bitch for other bitches - kanye voice"" Yes","""@AdoreBellaaa"
" How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!","""@AdoreZoey"
 http,"""@AllAboutManFeet"
" Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol","""@Allyhaaaaa"
 @JetsAndASwisher @Gook____ bitch fuck u http,"""@Almightywayne__"
" Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?","""@Almightywayne__"
" Why the eggplant emoji doe?""y he say she looked like scream lmao","""@ArizonasFinest6"
 Hennessey Venom GT &#128584; http,"""@AutoWorId"
" Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!","""@BOSSBYTCHH"
" #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""","""@BRO_HEN314"
" Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http","""@BVSEDCHINK"
 baby monkey bathtime http,"""@BabyAnimalPics"
" &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol","""@BaylaaGottaBody"
" u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance","""@BeEasyJrizzy"
 @_KudaBrazyy http,"""@BeenBasedB"
" ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""","""@BeenFLYnSolo"
 The facts on tattoos...tattoo http,"""@BestProAdvice"
" &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..","""@Bill215_"
 Get worshiping bitch! http,"""@BitchJones92"
 Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http,"""@BlackChiquitita"
" Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her","""@BlackNerdJade"
" @WhaleLookyHere @HowdyDowdy11 queer"" gaywad","""@Blackman38Tide"
" @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol","""@BrokenPiecesmsc"
 This bitch was so ungrateful http,"""@BrosConfessions"
" I been kidnapped yo bitch""","""@CASHandBOOBIES"
" @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican","""@CB_Baby24"
" @AydanMcCoy happy birthday nigs"" Thanks yo","""@CCobey"
 when ur teacher tells u that u have homework https,"""@CHlLDHOODRUINER"
" ""@22EdHam","""@CaelanG15"
" What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""","""@CanIFuckOrNah"
" Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig","""@CarelessOne92"
" Going back to school sucks more dick than the hoes who attend it.""","""@CauseWereGuys"
 On my way to fuck yo bitch http,"""@CauseWereGuys"
" @white_thunduh how come you never bring me food"" i dont have a car retard","""@CeleyNichole"
" If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople","""@ChadMFVerbeck"
" How bout them Cowboys!!!!"" Shutup pussy","""@ChandlerParsons"
 LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http,"""@ClicquotSuave"
" @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz","""@Coley_Cee"
" Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again","""@Coley_Cee"
" Harlem shake is just an excuse to go full retard for 30 seconds.""","""@ComedyPosts"
 amen miley &#128591; http,"""@ComedyTruth"
" having one loyal female is wayyyyy better than having hoes , idc &#128175;""","""@CoryBandz"
 Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https,"""@Crhedrys"
" Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands","""@DBAB_Holloway"
" What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch","""@DGotBricks"
" @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow","""@DaeDaviDavie"
" @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http","""@DevilGrimz"
" The fuck be wrong with these bitches?"" Nobody knows","""@DiamondLoudKush"
 Yall shut up,"""@Dietrich1892"
" I hate a ""I'm pregnant"" type of bitch.""","""@DionaIrish"
" Got bitches in the DM but I don't ever read'em"" which is y your top 3","""@DoYou_Q"
" Baseball season for the win. #Yankees"" This is where the love started","""@DomWorldPeace"
" Little stupid as bitch I don't fuck with yoooooouuuu..""","""@Dommoneek"
" she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL","""@DreadheadAri"
" I'm an early bird and I'm a night owl, so I'm wise and have worms.""","""@DunderbaIl"
" Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.","""@EdgarPixar"
 Pit Bulls Photographed As Lovely Fairy Tale Creatures http,"""@El_Grillo1"
" @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol","""@Ferocious_Ghost"
" As long as the Lakers trash from now on, I could careless. And that's real."". CC","""@FloKid88"
" @h0rheyd I didn't say anything tho"" kiss me then faggot","""@Frosstyy_"
" this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http","""@FunnyPicsDepot"
" I could go for a fat ass bitch on my lap"" same","""@G27Status"
" 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle","""@GEDMelle"
" Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;","""@GTM_Al"
 &#8220;@MaleFoot,"""@GagaTom1"
" These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh","""@GirlThatsVonte"
" Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;","""@GirlThatsVonte"
" Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit","""@GirlThatsVonte"
" I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck","""@Girllssues"
" If she kiss u with her eyes open watch that bitch!""lmfao","""@Gizzy_Jones94"
" You a woulda coulda shoulda ass hoe &#128563;&#128586;""","""@Goofstroop"
" Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!","""@Gotti_LTF"
" @1Jayee @PipinHoes used to send that bitch up""","""@HBMostDope"
" Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""","""@HBMostDope"
" @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao","""@HaloTGMG"
" Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""","""@HeartlessFuck"
 This isn't ghetto.....it's smart https,"""@HermosaAlma"
" I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?","""@HiImJoriB"
" Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu","""@HornyFacts"
" White boy power bitch"" black power bitch","""@HoskinsTy96"
" Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.","""@Hudgens_11"
" @verbally_abrupt bitch where u been"" Around the world and back. Where you been?","""@IScoutGirls"
" @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *","""@ItsYahBoiRay"
" #oomf is soooo cute. But he probably has hoes on him a lot.""","""@Itsyesie"
 In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http,"""@JAYten9"
 Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http,"""@JReebo"
" I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do","""@JamesyNBA"
" If you dressed up as a cat for Halloween you are basic."" ...or a pussy","""@JasminePore"
" Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3","""@Jewelxo"
" stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH","""@JoeBudden"
" @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig","""@Johnny55Perez"
" @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed","""@KazAtta"
" You're not a man if you refer to every girl as a bitch""","""@KelsieBelsi"
" Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!","""@KeyshawnSwag"
" Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?","""@KeyshawnSwag"
" @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha","""@KingCuh"
" @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!","""@KingHendo95"
" Ol dirty foot ass bitches.."" this was too funny to me.","""@KingTeej_"
" @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY","""@King_Shawn_6"
" Don't got time for bitches to be actin iffy.""","""@KissMySmilee"
 These hoes ain't loyal ; no they ain't http,"""@KyraNadiya_"
" Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!","""@LCisTJ"
" dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;","""@LODYCASH"
 shut yo bitch ass up! https,"""@LUNAraps"
" Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""","""@LaFlareGodJosh"
" You love these hoes more then money wats wrong these niggas""","""@Latrobemark"
" A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol","""@LeBronVuitton"
" Easy cum, easy hoe"" That's a fact !","""@LiLFridayHOE"
 Charlie Sheen is too real http,"""@LifeAsBros"
" Wish I had a bae &#128533;""

You got all the hoes tho","""@Lightskingawdd"
" Fuck twerking bitch can you cook ?""","""@Lil_Mike_12"
" @WesGodLaFlare bitch wtf"" http","""@Linniekravitz"
 &#8220;@h0rheyd,"""@Lipe_the_Great"
" Lmao fucking snake bitches"" @ em","""@LolaaIsDope"
" Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;","""@Loveable_Aizah"
" Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum","""@MLBNetwork"
 &#8220;@DezDLT,"""@M_Rad"
" Oregon chokes every year get off the field trash ass program"" RFT","""@MadFlyentist"
 Def not cowboy lol RT @ArtofFloyd,"""@MannyDiesel"
 LMFAOOOO I HATE BLACK PEOPLE https,"""@MarkRoundtreeJr"
" @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent","""@Master11_"
 http,"""@MaxMayo77"
 http,"""@MaxMayo77"
 http,"""@MaxMayo77"
" @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel","""@MegamindNick"
" @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol","""@Mesha_nojas"
" This new twitter is confusing the shit out of me."" Go back to south america bitch","""@Migsmichelen"
" Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy","""@Miikito_x3"
" but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!","""@MikelaHenry"
" bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley ","""@MileyCyrus"
" I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.","""@Montrell_"
" 10 birds your grandkids may never see, thanks to climate change http","""@MotherJones"
" ""Stay beautiful you bitch""""","""@MvckFadden"
" #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls","""@NICKIMINAJ"
" Money getting taller and bitches getting blurry""","""@NastyCopper"
" I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;","""@NewsomeJade"
 Kobe stay talking trash. But let's not forget http,"""@Nicholas_ted33"
" ""At least I'm not a nigger"" http","""@NoChillPaz"
" People always asking me what I'm mixed with."" She a bad asian bitch lol","""@No_FAKINGG"
" @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo","""@NotoriousBM95"
 &#8220;@IgnoreAllLaws,"""@OSAY_it_aint_so"
" I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!","""@OfficialReplay"
 &#8220;@macklemroe,"""@PRAYINGFORHEAD"
" We don't love these hoes &#128080;&#128581;""","""@PRETTyBOSs_BRAt"
" If yo girl cant have homeboys you a ol weak bitch ass nigga!""","""@PatrickQuelo"
" @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol""","""@Patsfanjoe32"
" Quote this tweet with your favorite animal.""pussy","""@PoemsPorn"
" I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""","""@Poetic_Success"
 Andrewbryant,"""@Poffalicious"
" When bitches TWERK on the computer....

ME","""@Poobie_"
 &#8220;@sreadthepeace,"""@ProdsJewel_"
" 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""","""@QUAN1T0"
" These bitches don't care they just play that role.""","""@QUAN1T0"
" It took a while for you to find me, but I was hiding In the lime tree.""
@Iemonaids dis bitch in da wrong tree bro.","""@Queen_Kaaat"
" Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http","""@RTNBA"
" @DizzleOfficial inna di ghetto!!!"" You alone lmaoo","""@RachieSoul"
 &#8220;@Master11_,"""@RamBoutIt"
" bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!","""@ReachtheeCLIMAX"
" Fat hoes get chose"" lol","""@RenegadeMo"
" #hoesaintloyal"" well they're hoes,no one expects them to be loyal","""@RiahSM"
" @TRESHON_SCROOGE @_Nevertrustt ol bitch ass"" http","""@RishaaWilliams"
" Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo","""@RnadJorell"
" Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you","""@SacTownProdigy"
" Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me","""@SamJLayman "
" ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot","""@Samirahusic_"
 @ One of your followers with this &#128525;&#128553; http,"""@SexualGxfs"
" If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!","""@Shaa_Jenkins"
" These catfish hoes thinkin they slick.. But niggas catching on &#128524;""","""@ShanTaughtHer"
" Can't worry about a bitch that ain't worried bout me"" #real","""@SheWentToJordan"
" Side hoes are for insecure niggas that can't handle a real one.""","""@ShowArrive"
 &#128514;&#128514;&#128514;&#128514;RT @bluprint_4,"""@Shun_stokes"
" My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;""","""@Shun_stokes"
" i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;","""@SlimGirl_Probz"
" Dese hoes be LYIN to all of us nigga""","""@SmeegBaby"
 http,"""@SnakecharmsDump"
" Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash","""@SportsCenter"
 USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &#187; http,"""@SportsCenter"
" Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy","""@StellaTex"
 Chilling &#128069;&#8482; http,"""@Stephenwildboy"
" I ain't sharing no bitch if you mines you mines &#128175;""","""@Strap__"
" money only impress the simple broke bitches""","""@SukMySweetness"
" #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht","""@Sylvieamx"
" @16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;","""@TEE_JONEZ"
" @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;","""@TEE_JONEZ"
" These hoes is crazy""","""@TayKnosBest"
" You ain't ever gonna be a slice bitch."" Kevin hart. (","""@Taylorr_Babee"
" Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch.","""@ThatniggaTroy"
" I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags","""@TheGamerKingKev"
" #NewSATQuestions
Yeah bitch, yeah bitch, call me _______","""@TheNewSAT"
" Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right","""@TheNymphoTweets"
" Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.","""@TheOneMiss_Luu"
" @JetsAndASwisher @Gook____ y'all come through the front.""bitch I ain't coming","""@TheRealRickyB21"
" @JetsAndASwisher faggot bitch"" http","""@TheRealRickyB21"
" @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket""i work 2-5","""@The_Realist_Sam"
 http,"""@Theo17100"
 #GerrysHalloweenParty http,"""@TheoMaxximus"
" Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* http","""@TheoMaxximus"
 &#8220;@KantKeepAhBYTCH,"""@Thornton25"
 &#8220;@VoiceOfDStreetz,"""@Tmacc_GFG"
 &#8220;@tizzimarie,"""@Tmacc_GFG"
" BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuck"" hell yea i play that hoe before my workout","""@Tmacc_GFG"
 Yo bitch is Gucci Mane RT @JabariTheGreat ,"""@TreLeKidd"
" I can ride your bitch with no handle bars""","""@TweetGameLazy"
" And if you ain't a hoe get up out my traphoussseeeee""","""@TyJonCuffee"
 15 sad TV character deaths we're still bitter over... http,"""@UberFacts"
" These harbor bitches are all ""Party Bus hoes"""" Lol all?","""@UnHoly_Jack"
" @Woodchuck20 pussy"" love it","""@Vbomb20"
" Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey http","""@VeronikaHumbert"
 On my way to fuck your bitch https,"""@VineForTheByrd"
" A smuggler explains how he helped fighters along the ""Jihadi Highway""","""@WBUR"
" ""@QuaTheGreat","""@WBeezy_"
" ""@Run_DRC","""@WBeezy_"
 whys this bitch boosting herself http,"""@WannabeKanye"
" @_1nonlykeisha bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;"" &#128514;&#128514; Kim bye!!!","""@WitHaPrettyface"
" Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco","""@X_XPDOTJDOT"
" I'm making marack my girlfriend ."" @marackaf aye b you pullin hoes just like o taught you","""@XoJennyGirl"
" Bruno fag boy"" you love me.","""@XoXo__Angiee"
 &#8220;@Run_DRC,"""@YEHits_Von"
